pokedex_number,abilities,name,hp,defense,attack,speed,type1,type2,classfication,experience_growth,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,percentage_male,height_m,weight_kg,generation
117,"['Poison Point', 'Sniper', 'Damp']",Seadra,55,95,65,85,water,,Dragon Pokémon,1000000,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,1.2,25.0,1
118,"['Swift Swim', 'Water Veil', 'Lightningrod']",Goldeen,45,60,67,63,water,,Goldfish Pokémon,1000000,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,0.6,15.0,1
119,"['Swift Swim', 'Water Veil', 'Lightningrod']",Seaking,80,65,92,68,water,,Goldfish Pokémon,1000000,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,1.3,39.0,1
120,"['Illuminate', 'Natural Cure', 'Analytic']",Staryu,30,55,45,85,water,,Starshape Pokémon,1250000,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,,0.8,34.5,1
121,"['Illuminate', 'Natural Cure', 'Analytic']",Starmie,60,85,75,115,water,psychic,Mysterious Pokémon,1250000,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,,1.1,80.0,1
122,"['Soundproof', 'Filter', 'Technician']",Mr. Mime,40,65,45,90,psychic,fairy,Barrier Pokémon,1000000,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,50,1.3,54.5,1
123,"['Swarm', 'Technician', 'Steadfast']",Scyther,70,80,110,105,bug,flying,Mantis Pokémon,1000000,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,50,1.5,56.0,1
124,"['Oblivious', 'Forewarn', 'Dry Skin']",Jynx,65,35,50,95,ice,psychic,Humanshape Pokémon,1000000,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,0,1.4,40.6,1
125,"['Static', 'Vital Spirit']",Electabuzz,65,57,83,105,electric,,Electric Pokémon,1000000,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,75.4,1.1,30.0,1
126,"['Flame Body', 'Vital Spirit']",Magmar,65,57,95,93,fire,,Spitfire Pokémon,1000000,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,75.4,1.3,44.5,1
127,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",Pinsir,65,120,155,105,bug,,Stagbeetle Pokémon,1250000,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,50,1.5,55.0,1
128,"['Intimidate', 'Anger Point', 'Sheer Force']",Tauros,75,95,100,110,normal,,Wild Bull Pokémon,1250000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,100,1.4,88.4,1
129,"['Swift Swim', 'Rattled']",Magikarp,20,55,10,80,water,,Fish Pokémon,1250000,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,0.9,10.0,1
130,"['Intimidate', 'Moxie']",Gyarados,95,109,155,81,water,flying,Atrocious Pokémon,1250000,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,50,6.5,235.0,1
131,"['Water Absorb', 'Shell Armor', 'Hydration']",Lapras,130,80,85,60,water,ice,Transport Pokémon,1250000,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,50,2.5,220.0,1
132,"['Limber', 'Imposter']",Ditto,48,48,48,48,normal,,Transform Pokémon,1000000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,,0.3,4.0,1
133,"['Run Away', 'Adaptability', 'Anticipation']",Eevee,55,50,55,55,normal,,Evolution Pokémon,1000000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,88.1,0.3,6.5,1
134,"['Water Absorb', 'Hydration']",Vaporeon,130,60,65,65,water,,Bubble Jet Pokémon,1000000,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,88.1,1.0,29.0,1
135,"['Volt Absorb', 'Quick Feet']",Jolteon,65,60,65,130,electric,,Lightning Pokémon,1000000,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,88.1,0.8,24.5,1
136,"['Flash Fire', 'Guts']",Flareon,65,60,130,65,fire,,Flame Pokémon,1000000,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,88.1,0.9,25.0,1
137,"['Trace', 'Download', 'Analytic']",Porygon,65,70,60,40,normal,,Virtual Pokémon,1000000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,,0.8,36.5,1
138,"['Swift Swim', 'Shell Armor', 'Weak Armor']",Omanyte,35,100,40,35,rock,water,Spiral Pokémon,1000000,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,88.1,0.4,7.5,1
139,"['Swift Swim', 'Shell Armor', 'Weak Armor']",Omastar,70,125,60,55,rock,water,Spiral Pokémon,1000000,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,88.1,1.0,35.0,1
140,"['Swift Swim', 'Battle Armor', 'Weak Armor']",Kabuto,30,90,80,55,rock,water,Shellfish Pokémon,1000000,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,88.1,0.5,11.5,1
141,"['Swift Swim', 'Battle Armor', 'Weak Armor']",Kabutops,60,105,115,80,rock,water,Shellfish Pokémon,1000000,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,88.1,1.3,40.5,1
142,"['Rock Head', 'Pressure', 'Unnerve']",Aerodactyl,80,85,135,150,rock,flying,Fossil Pokémon,1250000,0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2,88.1,1.8,59.0,1
143,"['Immunity', 'Thick Fat', 'Gluttony']",Snorlax,160,65,110,30,normal,,Sleeping Pokémon,1250000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,88.1,2.1,460.0,1
144,"['Pressure', 'Snow Cloak']",Articuno,90,100,85,85,ice,flying,Freeze Pokémon,1250000,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,,1.7,55.4,1
145,"['Pressure', 'Static']",Zapdos,90,85,90,100,electric,flying,Electric Pokémon,1250000,0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1,,1.6,52.6,1
146,"['Pressure', 'Flame Body']",Moltres,90,90,100,90,fire,flying,Flame Pokémon,1250000,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,,2.0,60.0,1
147,"['Shed Skin', 'Marvel Scale']",Dratini,41,45,64,50,dragon,,Dragon Pokémon,1250000,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,50,1.8,3.3,1
148,"['Shed Skin', 'Marvel Scale']",Dragonair,61,65,84,70,dragon,,Dragon Pokémon,1250000,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,50,4.0,16.5,1
149,"['Inner Focus', 'Multiscale']",Dragonite,91,95,134,80,dragon,flying,Dragon Pokémon,1250000,0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5,50,2.2,210.0,1
150,"['Pressure', 'Unnerve']",Mewtwo,106,70,150,140,psychic,,Genetic Pokémon,1250000,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,,2.0,122.0,1
151,['Synchronize'],Mew,100,100,100,100,psychic,,New Species Pokémon,1059860,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,,0.4,4.0,1
152,"['Overgrow', 'Leaf Guard']",Chikorita,45,65,49,45,grass,,Leaf Pokémon,1059860,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,88.1,0.9,6.4,2
153,"['Overgrow', 'Leaf Guard']",Bayleef,60,80,62,60,grass,,Leaf Pokémon,1059860,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,88.1,1.2,15.8,2
154,"['Overgrow', 'Leaf Guard']",Meganium,80,100,82,80,grass,,Herb Pokémon,1059860,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,88.1,1.8,100.5,2
155,"['Blaze', 'Flash Fire']",Cyndaquil,39,43,52,65,fire,,Fire Mouse Pokémon,1059860,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,88.1,0.5,7.9,2
156,"['Blaze', 'Flash Fire']",Quilava,58,58,64,80,fire,,Volcano Pokémon,1059860,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,88.1,0.9,19.0,2
157,"['Blaze', 'Flash Fire']",Typhlosion,78,78,84,100,fire,,Volcano Pokémon,1059860,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,88.1,1.7,79.5,2
158,"['Torrent', 'Sheer Force']",Totodile,50,64,65,43,water,,Big Jaw Pokémon,1059860,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,88.1,0.6,9.5,2
159,"['Torrent', 'Sheer Force']",Croconaw,65,80,80,58,water,,Big Jaw Pokémon,1059860,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,88.1,1.1,25.0,2
160,"['Torrent', 'Sheer Force']",Feraligatr,85,100,105,78,water,,Big Jaw Pokémon,1059860,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,88.1,2.3,88.8,2
161,"['Run Away', 'Keen Eye', 'Frisk']",Sentret,35,34,46,20,normal,,Scout Pokémon,1000000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,0.8,6.0,2
162,"['Run Away', 'Keen Eye', 'Frisk']",Furret,85,64,76,90,normal,,Long Body Pokémon,1000000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,1.8,32.5,2
163,"['Insomnia', 'Keen Eye', 'Tinted Lens']",Hoothoot,60,30,30,50,normal,flying,Owl Pokémon,1000000,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,0.7,21.2,2
164,"['Insomnia', 'Keen Eye', 'Tinted Lens']",Noctowl,100,50,50,70,normal,flying,Owl Pokémon,1000000,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,1.6,40.8,2
165,"['Swarm', 'Early Bird', 'Rattled']",Ledyba,40,30,20,55,bug,flying,Five Star Pokémon,800000,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,50,1.0,10.8,2
166,"['Swarm', 'Early Bird', 'Iron Fist']",Ledian,55,50,35,85,bug,flying,Five Star Pokémon,800000,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,50,1.4,35.6,2
167,"['Swarm', 'Insomnia', 'Sniper']",Spinarak,40,40,60,30,bug,poison,String Spit Pokémon,800000,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,50,0.5,8.5,2
168,"['Swarm', 'Insomnia', 'Sniper']",Ariados,70,70,90,40,bug,poison,Long Leg Pokémon,800000,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,50,1.1,33.5,2
169,"['Inner Focus', 'Infiltrator']",Crobat,85,80,90,130,poison,flying,Bat Pokémon,1000000,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,50,1.8,75.0,2
170,"['Volt Absorb', 'Illuminate', 'Water Absorb']",Chinchou,75,38,38,67,water,electric,Angler Pokémon,1250000,1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,50,0.5,12.0,2
171,"['Volt Absorb', 'Illuminate', 'Water Absorb']",Lanturn,125,58,58,67,water,electric,Light Pokémon,1250000,1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,50,1.2,22.5,2
172,"['Static', 'Lightningrod']",Pichu,20,15,40,60,electric,,Tiny Mouse Pokémon,1000000,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,50,0.3,2.0,2
173,"['Cute Charm', 'Magic Guard', 'Friend Guard']",Cleffa,50,28,25,15,fairy,,Star Shape Pokémon,800000,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,24.6,0.3,3.0,2
174,"['Cute Charm', 'Competitive', 'Friend Guard']",Igglybuff,90,15,30,15,normal,fairy,Balloon Pokémon,800000,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,24.6,0.3,1.0,2
175,"['Hustle', 'Serene Grace', 'Super Luck']",Togepi,35,65,20,20,fairy,,Spike Ball Pokémon,800000,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,88.1,0.3,1.5,2
176,"['Hustle', 'Serene Grace', 'Super Luck']",Togetic,55,85,40,40,fairy,flying,Happiness Pokémon,800000,0.25,0.5,0,2,1,0.25,1,1,1,0.5,0,2,1,2,1,2,2,1,88.1,0.6,3.2,2
177,"['Synchronize', 'Early Bird', 'Magic Bounce']",Natu,40,45,50,70,psychic,flying,Little Bird Pokémon,1000000,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,50,0.2,2.0,2
178,"['Synchronize', 'Early Bird', 'Magic Bounce']",Xatu,65,70,75,95,psychic,flying,Mystic Pokémon,1000000,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,50,1.5,15.0,2
179,"['Static', 'Plus']",Mareep,55,40,40,35,electric,,Wool Pokémon,1059860,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,50,0.6,7.8,2
180,"['Static', 'Plus']",Flaaffy,70,55,55,45,electric,,Wool Pokémon,1059860,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,50,0.8,13.3,2
181,"['Static', 'Plus']",Ampharos,90,105,95,45,electric,,Light Pokémon,1059860,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,50,1.4,61.5,2
182,"['Chlorophyll', 'Healer']",Bellossom,75,95,80,50,grass,,Flower Pokémon,1059860,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,50,0.4,5.8,2
183,"['Thick Fat', 'Huge Power', 'Sap Sipper']",Marill,70,50,20,40,water,fairy,Aquamouse Pokémon,800000,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,50,0.4,8.5,2
184,"['Thick Fat', 'Huge Power', 'Sap Sipper']",Azumarill,100,80,50,50,water,fairy,Aquarabbit Pokémon,800000,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,50,0.8,28.5,2
185,"['Sturdy', 'Rock Head', 'Rattled']",Sudowoodo,70,115,100,30,rock,,Imitation Pokémon,1000000,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,50,1.2,38.0,2
186,"['Water Absorb', 'Damp', 'Drizzle']",Politoed,90,75,75,70,water,,Frog Pokémon,1059860,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,1.1,33.9,2
187,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",Hoppip,35,40,35,50,grass,flying,Cottonweed Pokémon,1059860,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,50,0.4,0.5,2
188,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",Skiploom,55,50,45,80,grass,flying,Cottonweed Pokémon,1059860,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,50,0.6,1.0,2
189,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",Jumpluff,75,70,55,110,grass,flying,Cottonweed Pokémon,1059860,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,50,0.8,3.0,2
190,"['Run Away', 'Pickup', 'Skill Link']",Aipom,55,55,70,85,normal,,Long Tail Pokémon,800000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,0.8,11.5,2
191,"['Chlorophyll', 'Solar Power', 'Early Bird']",Sunkern,30,30,30,30,grass,,Seed Pokémon,1059860,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,50,0.3,1.8,2
192,"['Chlorophyll', 'Solar Power', 'Early Bird']",Sunflora,75,55,75,30,grass,,Sun Pokémon,1059860,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,50,0.8,8.5,2
193,"['Speed Boost', 'Compoundeyes', 'Frisk']",Yanma,65,45,65,95,bug,flying,Clear Wing Pokémon,1000000,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,50,1.2,38.0,2
194,"['Damp', 'Water Absorb', 'Unaware']",Wooper,55,45,45,15,water,ground,Water Fish Pokémon,1000000,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,50,0.4,8.5,2
195,"['Damp', 'Water Absorb', 'Unaware']",Quagsire,95,85,85,35,water,ground,Water Fish Pokémon,1000000,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,50,1.4,75.0,2
196,"['Synchronize', 'Magic Bounce']",Espeon,65,60,65,110,psychic,,Sun Pokémon,1000000,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,88.1,0.9,26.5,2
197,"['Synchronize', 'Inner Focus']",Umbreon,95,110,65,65,dark,,Moonlight Pokémon,1000000,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,88.1,1.0,27.0,2
198,"['Insomnia', 'Super Luck', 'Prankster']",Murkrow,60,42,85,91,dark,flying,Darkness Pokémon,1059860,1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1,50,0.5,2.1,2
199,"['Oblivious', 'Own Tempo', 'Regenerator']",Slowking,95,80,75,30,water,psychic,Royal Pokémon,1000000,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,50,2.0,79.5,2
200,['Levitate'],Misdreavus,60,60,60,85,ghost,,Screech Pokémon,800000,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,50,0.7,1.0,2
201,['Levitate'],Unown,48,48,72,48,psychic,,Symbol Pokémon,1000000,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,,0.5,5.0,2
202,"['Shadow Tag', 'Telepathy']",Wobbuffet,190,58,33,33,psychic,,Patient Pokémon,1000000,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,50,1.3,28.5,2
203,"['Inner Focus', 'Early Bird', 'Sap Sipper']",Girafarig,70,65,80,85,normal,psychic,Long Neck Pokémon,1000000,2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,50,1.5,41.5,2
204,"['Sturdy', 'Overcoat']",Pineco,50,90,65,15,bug,,Bagworm Pokémon,1000000,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,50,0.6,7.2,2
205,"['Sturdy', 'Overcoat']",Forretress,75,140,90,40,bug,steel,Bagworm Pokémon,1000000,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,50,1.2,125.8,2
206,"['Serene Grace', 'Run Away', 'Rattled']",Dunsparce,100,70,70,45,normal,,Land Snake Pokémon,1000000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,1.5,14.0,2
207,"['Hyper Cutter', 'Sand Veil', 'Immunity']",Gligar,65,105,75,85,ground,flying,Flyscorpion Pokémon,1059860,0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2,50,1.1,64.8,2
208,"['Rock Head', 'Sturdy', 'Sheer Force']",Steelix,75,230,125,30,steel,ground,Iron Snake Pokémon,1000000,0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2,50,9.2,400.0,2
209,"['Intimidate', 'Run Away', 'Rattled']",Snubbull,60,50,80,30,fairy,,Fairy Pokémon,800000,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,24.6,0.6,7.8,2
210,"['Intimidate', 'Quick Feet', 'Rattled']",Granbull,90,75,120,45,fairy,,Fairy Pokémon,800000,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,24.6,1.4,48.7,2
211,"['Poison Point', 'Swift Swim', 'Intimidate']",Qwilfish,65,85,95,85,water,poison,Balloon Pokémon,1000000,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,50,0.5,3.9,2
212,"['Swarm', 'Technician', 'Light Metal']",Scizor,70,140,150,75,bug,steel,Pincer Pokémon,1000000,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,50,1.8,118.0,2
213,"['Sturdy', 'Gluttony', 'Contrary']",Shuckle,20,230,10,5,bug,rock,Mold Pokémon,1059860,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,50,0.6,20.5,2
214,"['Swarm', 'Guts', 'Moxie']",Heracross,80,115,185,75,bug,fighting,Singlehorn Pokémon,1250000,0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1,50,1.5,54.0,2
215,"['Inner Focus', 'Keen Eye', 'Pickpocket']",Sneasel,55,55,95,115,dark,ice,Sharp Claw Pokémon,1059860,2,0.5,1,1,2,4,2,1,0.5,1,1,0.5,1,1,0,2,2,1,50,0.9,28.0,2
216,"['Pickup', 'Quick Feet', 'Honey Gather']",Teddiursa,60,50,80,40,normal,,Little Bear Pokémon,1000000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,0.6,8.8,2
217,"['Guts', 'Quick Feet', 'Unnerve']",Ursaring,90,75,130,55,normal,,Hibernator Pokémon,1000000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,1.8,125.8,2
218,"['Magma Armor', 'Flame Body', 'Weak Armor']",Slugma,40,40,40,20,fire,,Lava Pokémon,1000000,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,50,0.7,35.0,2
219,"['Magma Armor', 'Flame Body', 'Weak Armor']",Magcargo,60,120,50,30,fire,rock,Lava Pokémon,1000000,0.5,1,1,1,0.5,2,0.25,0.5,1,1,4,0.5,0.5,0.5,1,2,1,4,50,0.8,55.0,2
220,"['Oblivious', 'Snow Cloak', 'Thick Fat']",Swinub,50,40,50,50,ice,ground,Pig Pokémon,1250000,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,50,0.4,6.5,2
221,"['Oblivious', 'Snow Cloak', 'Thick Fat']",Piloswine,100,80,100,50,ice,ground,Swine Pokémon,1250000,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,50,1.1,55.8,2
222,"['Hustle', 'Natural Cure', 'Regenerator']",Corsola,65,95,55,35,water,rock,Coral Pokémon,800000,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,24.6,0.6,5.0,2
223,"['Hustle', 'Sniper', 'Moody']",Remoraid,35,35,65,65,water,,Jet Pokémon,1000000,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,0.6,12.0,2
224,"['Suction Cups', 'Sniper', 'Moody']",Octillery,75,75,105,45,water,,Jet Pokémon,1000000,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,0.9,28.5,2
225,"['Vital Spirit', 'Hustle', 'Insomnia']",Delibird,45,45,55,75,ice,flying,Delivery Pokémon,800000,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,50,0.9,16.0,2
226,"['Swift Swim', 'Water Absorb', 'Water Veil']",Mantine,85,70,40,70,water,flying,Kite Pokémon,1250000,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,50,2.1,220.0,2
227,"['Keen Eye', 'Sturdy', 'Weak Armor']",Skarmory,65,140,80,70,steel,flying,Armor Bird Pokémon,1250000,0.25,1,0.5,2,0.5,1,2,0.5,1,0.25,0,1,0.5,0,0.5,1,0.5,1,50,1.7,50.5,2
228,"['Early Bird', 'Flash Fire', 'Unnerve']",Houndour,45,30,60,65,dark,fire,Dark Pokémon,1250000,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,50,0.6,10.8,2
229,"['Early Bird', 'Flash Fire', 'Unnerve']",Houndoom,75,90,90,115,dark,fire,Dark Pokémon,1250000,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,50,1.4,35.0,2
230,"['Swift Swim', 'Sniper', 'Damp']",Kingdra,75,95,95,85,water,dragon,Dragon Pokémon,1000000,1,1,2,1,2,1,0.25,1,1,1,1,1,1,1,1,1,0.5,0.25,50,1.8,152.0,2
231,"['Pickup', 'Sand Veil']",Phanpy,90,60,60,40,ground,,Long Nose Pokémon,1000000,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,0.5,33.5,2
232,"['Sturdy', 'Sand Veil']",Donphan,90,120,120,50,ground,,Armor Pokémon,1000000,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,1.1,120.0,2
233,"['Trace', 'Download', 'Analytic']",Porygon2,85,90,80,60,normal,,Virtual Pokémon,1000000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,,0.6,32.5,2
234,"['Intimidate', 'Frisk', 'Sap Sipper']",Stantler,73,62,95,85,normal,,Big Horn Pokémon,1250000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,1.4,71.2,2
235,"['Own Tempo', 'Technician', 'Moody']",Smeargle,55,35,20,75,normal,,Painter Pokémon,800000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,1.2,58.0,2
236,"['Guts', 'Steadfast', 'Vital Spirit']",Tyrogue,35,35,35,35,fighting,,Scuffle Pokémon,1000000,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,100,0.7,21.0,2
237,"['Intimidate', 'Technician', 'Steadfast']",Hitmontop,50,95,95,70,fighting,,Handstand Pokémon,1000000,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,100,1.4,48.0,2
238,"['Oblivious', 'Forewarn', 'Hydration']",Smoochum,45,15,30,65,ice,psychic,Kiss Pokémon,1000000,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,0,0.4,6.0,2
239,"['Static', 'Vital Spirit']",Elekid,45,37,63,95,electric,,Electric Pokémon,1000000,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,75.4,0.6,23.5,2
